iter	Logloss
415	0.3243972227
416	0.3241249815
417	0.3239075274
418	0.3237724565
419	0.3236017536
420	0.3234007924
421	0.3232780861
422	0.3231350117
423	0.3229092625
424	0.322689
425	0.3224792182
426	0.3224048918
427	0.3222677197
428	0.3219761021
429	0.321908774
430	0.3217550604
431	0.3214944562
432	0.3212798799
433	0.3210726398
434	0.3209192549
435	0.3207654293
436	0.3206595134
437	0.3204856347
438	0.3202562916
439	0.3200491945
440	0.319820266
441	0.3196288188
442	0.319447828
443	0.3191839246
444	0.3190866115
445	0.318872153
446	0.3186618474
447	0.318400783
448	0.3180308658
449	0.3178594213
450	0.31756211
451	0.317320831
452	0.3170333072
453	0.3168417574
454	0.3165135592
455	0.3164247382
456	0.3162773594
457	0.3161197231
458	0.3159862215
459	0.315847667
460	0.3157159462
461	0.3155558328
462	0.3154736781
463	0.3153050955
464	0.3151637737
465	0.314966452
466	0.3148309105
467	0.3145877694
468	0.3144812337
469	0.3142845465
470	0.3141428563
471	0.3138543274
472	0.3135950196
473	0.313436303
474	0.3133218134
475	0.3131712245
476	0.3128496382
477	0.3127469277
478	0.3125333185
479	0.3123656864
480	0.31221394
481	0.3120345192
482	0.3118109585
483	0.3116062339
484	0.3113963304
485	0.31136087
486	0.3112332902
487	0.3110802093
488	0.3109844052
489	0.3109162472
490	0.3107218178
491	0.3105225685
492	0.3102369126
493	0.3100525748
494	0.3099118624
495	0.3096406115
496	0.3095159689
497	0.3092445319
498	0.309071096
499	0.3089107119
